video_id,date,days_since_post,play_count,like_count,comment_count,share_count,collect_count,download_count,whatsapp_share_count
7384086821132717358,2024-06-24,0,105696,6249,23,1113,1737,59,5
7384086821132717358,2024-06-25,1,330084,25291,71,3689,6421,214,25
7384086821132717358,2024-06-26,2,390753,32925,93,4476,8082,272,30
7384086821132717358,2024-06-27,3,464862,45741,137,5756,10699,358,33
7384086821132717358,2024-06-28,4,475386,46896,143,5907,10926,366,33
7384086821132717358,2024-06-29,5,478085,47109,143,5936,10987,368,34
7384175589206265118,2024-06-24,0,138,7,0,0,0,0,0
7384175589206265118,2024-06-25,1,323,16,0,0,0,0,0
7384175589206265118,2024-06-26,2,388,17,0,0,0,0,0
7384175589206265118,2024-06-27,3,447,18,0,0,1,0,0
7384175589206265118,2024-06-28,4,492,19,0,0,1,0,0
7384175589206265118,2024-06-29,5,557,19,0,0,2,0,0
7384177529092951338,2024-06-24,0,10524,1388,70,52,55,1,0
7384177529092951338,2024-06-25,1,11045,1449,73,54,55,1,0
7384177529092951338,2024-06-26,2,11290,1465,74,54,55,1,0
7384177529092951338,2024-06-27,3,11430,1475,74,54,55,1,0
7384177529092951338,2024-06-28,4,11610,1490,77,54,56,1,0
7384177529092951338,2024-06-29,5,11743,1506,77,54,58,1,0
7384193780057984287,2024-06-24,0,273,36,1,0,6,0,0
7384193780057984287,2024-06-25,1,356,41,2,0,6,0,0
7384193780057984287,2024-06-26,2,378,42,3,0,6,0,0
7384193780057984287,2024-06-27,3,397,42,3,0,6,0,0
7384193780057984287,2024-06-28,4,410,42,3,0,6,0,0
7384193780057984287,2024-06-29,5,423,42,3,0,6,0,0
7384193851700956447,2024-06-24,0,541,16,0,2,1,0,1
7384193851700956447,2024-06-25,1,1414,32,0,5,3,0,1
7384193851700956447,2024-06-26,2,1959,36,0,9,4,1,1
7384193851700956447,2024-06-27,3,2258,38,0,9,5,1,1
7384193851700956447,2024-06-28,4,2467,42,0,11,6,1,1
7384193851700956447,2024-06-29,5,2697,45,0,11,6,1,1
7384193925248191790,2024-06-24,0,248,38,3,1,2,1,0
7384193925248191790,2024-06-25,1,417,72,4,1,7,1,0
7384193925248191790,2024-06-26,2,466,81,4,1,7,1,0
7384193925248191790,2024-06-27,3,487,83,4,1,7,1,0
7384193925248191790,2024-06-28,4,496,84,4,1,7,1,0
7384193925248191790,2024-06-29,5,511,86,4,1,7,1,0
7384194149152525614,2024-06-24,0,141,15,2,0,0,0,0
7384194149152525614,2024-06-25,1,275,24,2,0,0,0,0
7384194149152525614,2024-06-26,2,280,25,2,0,0,0,0
7384194149152525614,2024-06-27,3,285,25,2,0,0,0,0
7384194149152525614,2024-06-28,4,289,25,2,0,0,0,0
7384194149152525614,2024-06-29,5,291,25,2,0,0,0,0
7384194290215292190,2024-06-24,0,193,3,0,0,0,0,0
7384194290215292190,2024-06-25,1,264,7,0,0,0,0,0
7384194290215292190,2024-06-26,2,292,7,0,0,0,1,0
7384194290215292190,2024-06-27,3,304,8,0,0,0,1,0
7384194290215292190,2024-06-28,4,322,9,0,0,0,1,0
7384194290215292190,2024-06-29,5,331,10,0,0,0,1,0
7384194342728043818,2024-06-24,0,3388,98,4,1,4,0,0
7384194342728043818,2024-06-25,1,20530,799,25,14,43,3,0
7384194342728043818,2024-06-26,2,24060,877,29,17,49,3,0
7384194342728043818,2024-06-27,3,25736,889,29,18,51,3,0
7384194342728043818,2024-06-28,4,26703,901,29,19,52,3,0
7384194342728043818,2024-06-29,5,27257,905,29,19,52,3,0
7384194754822655278,2024-06-24,0,143,8,2,0,0,0,0
7384194754822655278,2024-06-25,1,294,23,5,0,2,0,0
7384194754822655278,2024-06-26,2,306,24,6,0,2,0,0
7384194754822655278,2024-06-27,3,308,24,6,0,2,0,0
7384194754822655278,2024-06-28,4,311,24,6,0,2,0,0
7384194754822655278,2024-06-29,5,313,24,6,0,2,0,0
7384194877762080046,2024-06-24,0,222,1,0,0,0,0,0
7384194877762080046,2024-06-25,1,275,3,0,0,0,0,0
